# The 1,000 most populous US places, for offline location matching.
# Population and coordinates originate with the US Census Bureau (a US government
# work, public domain); assembled via plotly/datasets (MIT). Facts only.
# Coordinates rounded to 4dp (~11m) — far finer than metro-level matching needs.
city,state,lat,lon,population
Kirkland,WA,47.6815,-122.2087,84430
Kissimmee,FL,28.292,-81.4076,65173
Knoxville,TN,35.9606,-83.9207,183270
Kokomo,IN,40.4864,-86.1336,56895
La Crosse,WI,43.8014,-91.2396,51522
La Habra,CA,33.932,-117.9462,61653
La Mesa,CA,32.7678,-117.0231,58642
La Mirada,CA,33.9172,-118.012,49133
La Puente,CA,34.02,-117.9495,40435
La Quinta,CA,33.6634,-116.31,39331
Lacey,WA,47.0343,-122.8232,44919
Lafayette,IN,40.4167,-86.8753,70373
Lafayette,LA,30.2241,-92.0198,124276
Laguna Niguel,CA,33.5225,-117.7076,64652
Lake Charles,LA,30.2266,-93.2174,74024
Lake Elsinore,CA,33.6681,-117.3273,57525
Lake Forest,CA,33.647,-117.6892,79312
Lake Havasu City,AZ,34.4839,-114.3225,52844
Lake Oswego,OR,45.4207,-122.6706,37610
Lakeland,FL,28.0395,-81.9498,100710
Lakeville,MN,44.6497,-93.2427,58562
Lakewood,CA,33.8536,-118.134,81121
Lakewood,CO,39.7047,-105.0814,147214
Lakewood,OH,41.482,-81.7982,51143
Lakewood,WA,47.1718,-122.5185,59097
Lancaster,CA,34.6868,-118.1542,159523
Lancaster,OH,39.7137,-82.5993,39325
Lancaster,PA,40.0379,-76.3055,59325
Lancaster,TX,32.5921,-96.7561,38071
Lansing,MI,42.7325,-84.5555,113972
Laredo,TX,27.5306,-99.4803,248142
Largo,FL,27.9095,-82.7873,78409
Las Cruces,NM,32.3199,-106.7637,101324
Las Vegas,NV,36.1699,-115.1398,603488
Lauderhill,FL,26.1404,-80.2134,69813
Lawrence,IN,39.8387,-86.0253,47135
Lawrence,KS,38.9717,-95.2353,90811
Lawrence,MA,42.707,-71.1631,77657
Lawton,OK,34.6036,-98.3959,97151
Layton,UT,41.0602,-111.9711,70790
League City,TX,29.5075,-95.0949,90983
Lee's Summit,MO,38.9108,-94.3822,93184
